trial,tau_scaler,theta_scaler,prob_succ_no_ai,prob_succ_other_decision,ai_count,human_count,prob_other_decision
5,2.0,1.0,0.11333333333333333,0.9966666666666667,5,16,0.446044245280393
5,0.6,2.0,0.08333333333333333,0.29333333333333333,5,16,0.5415704832167999
5,0.8,2.0,0.12,0.5433333333333333,5,16,0.5760714244567121
5,1.0,2.0,0.16333333333333333,0.71,5,16,0.5841905229354073
5,1.2,2.0,0.17333333333333334,0.85,5,16,0.5744425168116589
5,1.4,2.0,0.16333333333333333,0.9233333333333333,5,16,0.5183251216999564
5,1.6,2.0,0.16,0.97,5,16,0.48500449838058995
5,1.8,2.0,0.14,0.9866666666666667,5,16,0.42718800842998617
5,2.0,2.0,0.11333333333333333,0.9966666666666667,5,16,0.3933306438917886
5,0.6,3.0,0.08333333333333333,0.29333333333333333,5,16,0.5621765008857981
5,0.8,3.0,0.12,0.5433333333333333,5,16,0.6130141761393355
5,1.0,3.0,0.16333333333333333,0.71,5,16,0.6248064744684293
5,1.2,3.0,0.17333333333333334,0.85,5,16,0.6106392339492219
5,1.4,3.0,0.16333333333333333,0.9233333333333333,5,16,0.5274723043445938
5,1.6,3.0,0.16,0.97,5,16,0.47751517520819975
5,1.8,3.0,0.14,0.9866666666666667,5,16,0.3917409692534856
5,2.0,3.0,0.11333333333333333,0.9966666666666667,5,16,0.3429895373265011
5,0.6,4.0,0.08333333333333333,0.29333333333333333,5,16,0.5825702064623147
5,0.8,4.0,0.12,0.5433333333333333,5,16,0.6487008049890769
5,1.0,4.0,0.16333333333333333,0.71,5,16,0.6637386974043527
5,1.2,4.0,0.17333333333333334,0.85,5,16,0.6456563062257954
5,1.4,4.0,0.16333333333333333,0.9233333333333333,5,16,0.5366010793535907
5,1.6,4.0,0.16,0.97,5,16,0.4700359482354282
5,1.8,4.0,0.14,0.9866666666666667,5,16,0.35740004071729725
5,2.0,4.0,0.11333333333333333,0.9966666666666667,5,16,0.29594837238283755
5,0.6,5.0,0.08333333333333333,0.29333333333333333,5,16,0.6026853379784917
5,0.8,5.0,0.12,0.5433333333333333,5,16,0.6827993860934125
5,1.0,5.0,0.16333333333333333,0.71,5,16,0.700567142473973
5,1.2,5.0,0.17333333333333334,0.85,5,16,0.6791786991753931
5,1.4,5.0,0.16333333333333333,0.9233333333333333,5,16,0.5457053875844058
5,1.6,5.0,0.16,0.97,5,16,0.4625701546562505
5,1.8,5.0,0.14,0.9866666666666667,5,16,0.32446367701054585
5,2.0,5.0,0.11333333333333333,0.9966666666666667,5,16,0.2528757327293305
5,0.6,6.0,0.08333333333333333,0.29333333333333333,5,16,0.6224593312018546
5,0.8,6.0,0.12,0.5433333333333333,5,16,0.7150421057009897
5,1.0,6.0,0.16333333333333333,0.71,5,16,0.7349725994665188
5,1.2,6.0,0.17333333333333334,0.85,5,16,0.710949502625004
5,1.4,6.0,0.16333333333333333,0.9233333333333333,5,16,0.5547792351072148
5,1.6,6.0,0.16,0.97,5,16,0.4551211076264198
5,1.8,6.0,0.14,0.9866666666666667,5,16,0.29317777890643243
5,2.0,6.0,0.11333333333333333,0.9966666666666667,5,16,0.21416501695744125
5,0.6,7.0,0.08333333333333333,0.29333333333333333,5,16,0.641834045088731
5,0.8,7.0,0.12,0.5433333333333333,5,16,0.745230306652088
5,1.0,7.0,0.16333333333333333,0.71,5,16,0.7667410642285428
5,1.2,7.0,0.17333333333333334,0.85,5,16,0.7407748991821539
5,1.4,7.0,0.16333333333333333,0.9233333333333333,5,16,0.5638167088132782
5,1.6,7.0,0.16,0.97,5,16,0.44769209042567465
5,1.8,7.0,0.14,0.9866666666666667,5,16,0.2637308505103769
5,2.0,7.0,0.11333333333333333,0.9966666666666667,5,16,0.179952894242358
5,0.6,8.0,0.08333333333333333,0.29333333333333333,5,16,0.6607563687658172
5,0.8,8.0,0.12,0.5433333333333333,5,16,0.7732346305333879
5,1.0,8.0,0.16333333333333333,0.71,5,16,0.7957596977159082
5,1.2,8.0,0.17333333333333334,0.85,5,16,0.7685247834990176
5,1.4,8.0,0.16333333333333333,0.9233333333333333,5,16,0.5728119915700138
5,1.6,8.0,0.16,0.97,5,16,0.440286350732807
5,1.8,8.0,0.14,0.9866666666666667,5,16,0.23625299719454385
5,2.0,8.0,0.11333333333333333,0.9966666666666667,5,16,0.1501617062898473
6,0.6,1.0,0.0,0.0,5,16,0.5199893401555817
6,0.8,1.0,0.0,0.0,5,16,0.5316243949817685
6,1.0,1.0,0.0,0.0,5,16,0.538258404556013
6,1.2,1.0,0.0,0.0,5,16,0.5349429451582145
6,1.4,1.0,0.0,0.0,5,16,0.51499550161941
6,1.6,1.0,0.0,0.0,5,16,0.4891683615644526
6,1.8,1.0,0.0,0.0,5,16,0.4675456936126812
6,2.0,1.0,0.0,0.0,5,16,0.45099119424114104
6,0.6,2.0,0.0,0.0,5,16,0.5399148845555656
6,0.8,2.0,0.0,0.0,5,16,0.5629967770624005
6,1.0,2.0,0.0,0.0,5,16,0.5760714244567121
6,1.2,2.0,0.0,0.0,5,16,0.569546223939229
6,1.4,2.0,0.0,0.0,5,16,0.5299640517645717
6,1.6,2.0,0.0,0.0,5,16,0.47834688488309973
6,1.8,2.0,0.0,0.0,5,16,0.43536370819697084
6,2.0,2.0,0.0,0.0,5,16,0.4029151267581544
6,0.6,3.0,0.0,0.0,5,16,0.5597136492671929
6,0.8,3.0,0.0,0.0,5,16,0.5938731029341427
6,1.0,3.0,0.0,0.0,5,16,0.6130141761393355
6,1.2,3.0,0.0,0.0,5,16,0.6034832498647262
6,1.4,3.0,0.0,0.0,5,16,0.5448788923735801
6,1.6,3.0,0.0,0.0,5,16,0.4675456936126812
6,1.8,3.0,0.0,0.0,5,16,0.4037173007032121
6,2.0,3.0,0.0,0.0,5,16,0.35663485430559816
6,0.6,4.0,0.0,0.0,5,16,0.5793242521487495
6,0.8,4.0,0.0,0.0,5,16,0.6240247388269247
6,1.0,4.0,0.0,0.0,5,16,0.6487008049890769
6,1.2,4.0,0.0,0.0,5,16,0.6364525402815664
6,1.4,4.0,0.0,0.0,5,16,0.5597136492671929
6,1.6,4.0,0.0,0.0,5,16,0.4567748355181423
6,1.8,4.0,0.0,0.0,5,16,0.37285223368680437
6,2.0,4.0,0.0,0.0,5,16,0.31288484846107845
6,0.6,5.0,0.0,0.0,5,16,0.598687660112452
6,0.8,5.0,0.0,0.0,5,16,0.6532449007182834
6,1.0,5.0,0.0,0.0,5,16,0.6827993860934125
6,1.2,5.0,0.0,0.0,5,16,0.6681877721681662
6,1.4,5.0,0.0,0.0,5,16,0.5744425168116589
6,1.6,5.0,0.0,0.0,5,16,0.44604424528039305
6,1.8,5.0,0.0,0.0,5,16,0.3429895373265013
6,2.0,5.0,0.0,0.0,5,16,0.27223087840063315
6,0.6,6.0,0.0,0.0,5,16,0.617747874769249
6,0.8,6.0,0.0,0.0,5,16,0.6813537337890255
6,1.0,6.0,0.0,0.0,5,16,0.7150421057009897
6,1.2,6.0,0.0,0.0,5,16,0.6984652160025387
6,1.4,6.0,0.0,0.0,5,16,0.5890404340586652
6,1.6,6.0,0.0,0.0,5,16,0.43536370819697073
6,1.8,6.0,0.0,0.0,5,16,0.3143198860617461
6,2.0,6.0,0.0,0.0,5,16,0.2350521962362352
6,0.6,7.0,0.0,0.0,5,16,0.6364525402815663
6,0.8,7.0,0.0,0.0,5,16,0.7082018109108575
6,1.0,7.0,0.0,0.0,5,16,0.745230306652088
6,1.2,7.0,0.0,0.0,5,16,0.7271082163411295
6,1.4,7.0,0.0,0.0,5,16,0.6034832498647262
6,1.6,7.0,0.0,0.0,5,16,0.42474282505435745
6,1.8,7.0,0.0,0.0,5,16,0.2869998372477183
6,2.0,7.0,0.0,0.0,5,16,0.20154488127275008
6,0.6,8.0,0.0,0.0,5,16,0.6547534606063192
6,0.8,8.0,0.0,0.0,5,16,0.7336719810356636
6,1.0,8.0,0.0,0.0,5,16,0.7732346305333879
6,1.2,8.0,0.0,0.0,5,16,0.753988716448948
6,1.4,8.0,0.0,0.0,5,16,0.617747874769249
6,1.6,8.0,0.0,0.0,5,16,0.41419097843501507
6,1.8,8.0,0.0,0.0,5,16,0.261149993915751
6,2.0,8.0,0.0,0.0,5,16,0.17174171778734698
7,0.6,1.0,0.006666666666666667,0.07333333333333333,4,17,0.5116645498437119
7,0.8,1.0,0.01,0.23,4,17,0.5316243949817686
